pred_start,pred_end,pred_label,gt_start,gt_end,gt_label,result
0:05.59,0:08.27,large billed crow,0:05.8,0:08.1,large billed crow,
0:19.37,0:21.73,,,,,FP
0:27.01,0:30.16,plaintive cuckoo,0:27.0,0:30.0,plaintive cuckoo,
0:41.03,0:48.35,plaintive cuckoo,0:41.0,0:48.0,plaintive cuckoo,
0:52.53,1:02.29,oriental reed warbler,0:52.0,1:02.0,oriental reed warbler,
1:07.73,2:08.36,oriental reed warbler,1:07.0,2:08.0,oriental reed warbler,
2:26.00,2:30.41,striated heron,2:26.0,2:30.0,striated heron,
2:59.47,3:02.15,large billed crow,2:59.0,3:02.0,large billed crow,
3:13.65,3:19.00,stork billed kingfisher,3:13.0,3:19.0,stork billed kingfisher,
3:36.64,3:37.59,oriental reed warbler,3:36.0,3:37.0,oriental reed warbler,
3:42.15,3:43.10,oriental reed warbler,3:42.0,3:42.3,oriental reed warbler,
4:23.66,4:26.02,large billed crow,4:24.0,4:25.7,large billed crow,
4:30.27,4:32.63,large billed crow,4:30.0,4:32.0,large billed crow,
4:42.08,4:44.37,large billed crow,4:42.0,4:44.0,large billed crow,
4:48.86,4:50.04,large billed crow,4:49.0,4:49.7,large billed crow,
4:57.83,4:59.17,large billed crow,4:58.0,4:58.7,large billed crow,
5:18.54,5:26.18,pin striped tit babbler,5:18.0,5:25.0,pin striped tit babbler,
5:35.00,5:38.15,pin striped tit babbler,5:35.0,5:37.0,pin striped tit babbler,
5:42.56,5:45.08,pin striped tit babbler,5:42.0,5:44.0,pin striped tit babbler,
5:46.66,5:50.91,pin striped tit babbler,5:47.0,5:50.0,pin striped tit babbler,
6:00.36,6:05.56,pin striped tit babbler,6:00.0,6:05.0,pin striped tit babbler,
6:18.79,6:21.62,pin striped tit babbler,6:19.0,6:21.0,pin striped tit babbler,
6:30.92,6:33.28,pin striped tit babbler,6:31.0,6:33.0,pin striped tit babbler,
6:37.85,6:40.37,pin striped tit babbler,6:38.0,6:40.0,pin striped tit babbler,
6:45.17,6:48.63,pin striped tit babbler,6:45.0,6:48.0,pin striped tit babbler,
6:52.97,6:54.62,pin striped tit babbler,6:53.0,6:54.0,pin striped tit babbler,
7:04.54,7:05.72,red junglefowl,7:04.0,7:07.0,red junglefowl,
7:05.80,7:07.30,red junglefowl,7:04.0,7:07.0,red junglefowl,
7:17.61,7:19.27,red junglefowl,7:18.0,7:20.0,red junglefowl,
7:19.27,7:20.76,red junglefowl,7:18.0,7:20.0,red junglefowl,
7:53.68,7:55.02,red junglefowl,7:54.0,7:56.0,red junglefowl,
7:54.94,7:56.52,red junglefowl,7:54.0,7:56.0,red junglefowl,
8:16.28,8:17.31,red junglefowl,8:16.0,8:18.0,red junglefowl,
8:17.38,8:18.80,red junglefowl,8:16.0,8:18.0,red junglefowl,
8:40.54,8:41.80,red junglefowl,8:41.0,8:43.0,red junglefowl,
8:41.88,8:43.29,red junglefowl,8:41.0,8:43.0,red junglefowl,
9:02.04,9:03.45,asian koel,9:02.0,9:03.0,asian koel,
9:07.00,9:08.26,asian koel,9:07.0,9:07.7,asian koel,
9:09.68,9:11.01,asian koel,9:10.0,9:10.7,asian koel,
9:12.12,9:13.53,asian koel,9:12.0,9:13.0,asian koel,
9:14.87,9:16.29,asian koel,9:15.0,9:16.0,asian koel,
9:17.71,9:19.20,asian koel,9:18.0,9:18.7,asian koel,
9:22.67,9:24.24,asian koel,9:23.0,9:23.8,asian koel,
9:27.71,9:29.20,asian koel,9:28.0,9:28.6,asian koel,
9:29.60,9:32.83,asian koel,9:30.0,9:32.0,asian koel,
9:37.71,9:42.91,pin striped tit babbler,9:37.0,9:42.0,pin striped tit babbler,
9:43.46,9:54.96,pin striped tit babbler,9:43.0,9:54.0,pin striped tit babbler,
9:55.90,9:58.50,pin striped tit babbler,9:55.0,9:58.0,pin striped tit babbler,
10:00.63,10:02.75,pin striped tit babbler,10:00.0,10:02.0,pin striped tit babbler,
10:04.72,10:21.50,pin striped tit babbler,10:04.0,10:21.0,pin striped tit babbler,
10:49.69,11:04.10,white breasted waterhen,10:50.0,11:03.0,white breasted waterhen,
11:04.97,11:20.16,white breasted waterhen,11:05.0,11:19.0,white breasted waterhen,
11:21.19,11:32.06,white breasted waterhen,11:21.0,11:31.0,white breasted waterhen,
11:36.70,11:39.22,large billed crow,11:37.0,11:38.0,large billed crow,
11:49.07,11:51.43,large billed crow,11:49.0,11:51.0,large billed crow,
11:59.46,12:01.90,large billed crow,11:59.0,12:01.0,large billed crow,
12:08.36,12:09.54,large billed crow,12:08.0,12:09.0,large billed crow,
12:41.99,12:51.12,fan,12:43.0,12:50.0,fan,FP
12:54.43,12:55.53,asian koel,12:54.0,12:55.0,asian koel,
