category,is_known,true_label,prediction,max_softmax,entropy,energy,odin,mahalanobis
Sterna_hirundo,1,66,66,1.0,-5.413439e-10,30.638351,0.0135735925,-26.721988677978516
Pycnonotus_aurigaster,0,-1,2,0.21067685,-2.8550496,6.0618587,0.013217929,-33.50965881347656
Tringa_nebularia,1,70,70,0.9999678,-0.00040909197,18.148743,0.013413113,-22.56531524658203
Pitta_sordida,0,-1,36,0.5376511,-1.9992133,6.7401896,0.013242662,-41.61752700805664
Otus_sunia,0,-1,47,0.277173,-2.5776865,6.358318,0.01323332,-43.30741882324219
Phylloscopus_borealis,1,56,56,0.7982814,-0.6192378,10.183646,0.013300313,-35.602535247802734
Calidris_ferruginea,1,15,15,0.9457929,-0.21360767,15.42141,0.013368512,-34.42222595214844
Aegithina_tiphia,1,4,57,0.27537036,-2.8353662,4.3908997,0.013223443,-22.266468048095703
Numenius_arquata,1,48,48,0.15173453,-2.7458358,6.0824137,0.013230033,-37.10982131958008
Sterna_hirundo,1,66,66,0.84562427,-0.94032204,6.993086,0.01325465,-37.394039154052734
Pernis_ptilorhynchus,0,-1,65,0.8165985,-0.7141535,10.8022585,0.013302151,-35.387977600097656
Strix_leptogrammica,0,-1,48,0.43378028,-2.528266,5.281921,0.013233102,-28.365400314331055
Pluvialis_squatarola,1,57,57,0.7958419,-0.5195768,14.623149,0.013358247,-28.64749526977539
Numenius_arquata,1,48,48,0.99976176,-0.002631602,14.970147,0.013366195,-27.975276947021484
Orthotomus_ruficeps,0,-1,51,0.9999931,-9.778351e-05,18.874763,0.013414244,-28.36808967590332
Pachycephala_cinerea,0,-1,14,0.22537088,-2.013217,7.474082,0.0132446475,-45.699466705322266
Motacilla_tschutschensis,1,46,46,0.9999999,-1.8687138e-06,22.931168,0.013472864,-19.94371223449707
Numenius_arquata,1,48,48,0.9999939,-8.56921e-05,20.228416,0.013446351,-33.40046310424805
Limosa_limosa,1,43,43,0.9921172,-0.046755113,15.980085,0.013372879,-35.04475021362305
Tachybaptus_ruficollis,1,68,68,0.99996316,-0.00043491035,19.62879,0.013428287,-35.36759948730469
Numenius_arquata,1,48,48,0.99999964,-6.877329e-06,23.857613,0.013499273,-26.264347076416016
Cuculus_micropterus,1,26,26,1.0,-1.4212857e-08,28.57567,0.01354903,-23.53845977783203
Caprimulgus_jotaka,0,-1,64,0.26358625,-2.682532,5.2930546,0.0132236825,-30.27558135986328
Acrocephalus_orientalis,1,2,2,0.99999166,-0.0001229899,18.551739,0.013402954,-43.0590934753418
Merops_philippinus,0,-1,46,0.99999976,-6.4116607e-06,21.789837,0.013452543,-50.318641662597656
Egretta_garzetta,1,29,29,0.9997662,-0.002302517,18.738253,0.013409858,-32.771728515625
Otus_lempiji,0,-1,28,0.39482224,-1.9239523,6.953184,0.013242418,-30.507680892944336
Ficedula_zanthopygia,0,-1,28,0.24227978,-2.3029685,6.5272217,0.013237771,-42.38787841796875
Rhaphidura_leucopygialis,0,-1,58,0.2303989,-2.5108376,6.944345,0.013234024,-34.831050872802734
Orthotomus_sutorius,1,52,52,1.0,-3.6797536e-07,24.497025,0.013495103,-32.02106857299805
Strix_leptogrammica,0,-1,18,0.67493665,-1.4949784,6.17133,0.01325049,-31.371557235717773
Chlidonias_hybrida,1,21,9,0.793173,-0.89471936,8.058443,0.01329356,-13.359777450561523
Anthracoceros_malayanus,0,-1,65,0.3974763,-2.5153337,5.43118,0.013227102,-27.38870620727539
Pitta_sordida,0,-1,72,0.3019797,-2.4312844,7.8733416,0.013246503,-46.842323303222656
